userid,created_at,duration,genre,id,last_modified,license,likes_count,release_date,reposts_count,title,published_at,display_date,track_count
46955753,2013-08-15 14:06:25+00:00,388686,,9034141,2013-08-15 14:06:26+00:00,all-rights-reserved,0,,0,Mantrastic Radio 01,,2013-08-15 14:06:25+00:00,1
46955753,2013-08-14 15:55:26+00:00,1424277,,8996462,2013-08-14 15:55:26+00:00,all-rights-reserved,0,,0,Some Heavy Tunes....,,2013-08-14 15:55:26+00:00,0
46955753,2013-06-05 17:29:46+00:00,56156153,,6418053,2013-06-05 17:29:46+00:00,all-rights-reserved,1,,0,David Guetta Mix,,2013-06-05 17:29:46+00:00,6
207461190,2018-02-06 07:47:09+00:00,2716051,,441730794,2018-02-06 07:47:09+00:00,all-rights-reserved,1,,0,path sahib,2018-02-06 07:47:09+00:00,2018-02-06 07:47:09+00:00,3
192829215,2015-12-13 16:24:17+00:00,944166,,174902465,2015-12-13 16:24:21+00:00,all-rights-reserved,0,,0,SmOke swaG *_*,,2015-12-13 16:24:17+00:00,1
193501631,2016-03-30 14:52:23+00:00,1230978,,210910903,2016-03-30 14:52:23+00:00,all-rights-reserved,0,,0,antro,,2016-03-30 14:52:23+00:00,1
193501631,2016-01-05 00:04:55+00:00,962778,,182196645,2016-01-05 00:04:55+00:00,all-rights-reserved,1,,0,santa grifa,,2016-01-05 00:04:55+00:00,0
193501631,2016-01-03 13:20:47+00:00,1776698,,181700555,2016-01-03 13:20:47+00:00,all-rights-reserved,0,,0,mexa mafia,,2016-01-03 13:20:47+00:00,9
193501631,2015-12-24 07:18:11+00:00,495694,,178330159,2015-12-24 07:18:12+00:00,all-rights-reserved,0,,0,jxzkvvn,,2015-12-24 07:18:11+00:00,2
193501631,2015-12-22 03:38:56+00:00,1320492,,177620412,2015-12-22 03:38:56+00:00,all-rights-reserved,1,,0,hip hop,,2015-12-22 03:38:56+00:00,5
193501631,2015-12-22 03:29:39+00:00,1045649,,177618291,2015-12-22 03:29:39+00:00,all-rights-reserved,1,,0,rrrr,,2015-12-22 03:29:39+00:00,4
193501631,2015-12-18 20:46:30+00:00,1812423,,176572679,2015-12-18 20:46:31+00:00,all-rights-reserved,1,,0,chidas,,2015-12-18 20:46:30+00:00,6
129185612,2014-12-24 16:27:18+00:00,4472712,,66675376,2014-12-24 16:27:18+00:00,all-rights-reserved,0,,0,new,,2014-12-24 16:27:18+00:00,6
407376357,2021-05-13 00:42:54+00:00,3708630,,1256125393,2021-05-13 00:42:54+00:00,all-rights-reserved,0,,0,shaleen,2021-05-13 00:42:54+00:00,2021-05-13 00:42:54+00:00,1
988383619,2021-05-28 14:14:30+00:00,2190578,Ambient,1263884848,2021-05-28 14:14:31+00:00,cc-,1,2021-05-28 00:00:00+00:00,0,NATURALEZA Y RELAX,2021-05-28 14:14:30+00:00,2021-05-28 14:14:30+00:00,9
20865753,2018-11-09 14:08:44+00:00,361331,,640422024,2018-11-09 14:08:44+00:00,all-rights-reserved,0,,0,soulful deep house,2018-11-09 14:08:44+00:00,2018-11-09 14:08:44+00:00,1
20865753,2018-11-09 14:05:12+00:00,4591685,,640419948,2018-11-09 14:05:12+00:00,all-rights-reserved,1,,0,Norris da boss windows cd1,2018-11-09 14:05:12+00:00,2018-11-09 14:05:12+00:00,1
20865753,2018-06-27 09:31:02+00:00,3612262,,549523731,2018-06-27 09:31:02+00:00,all-rights-reserved,0,,0,dancehall mix 2017-2018,2018-06-27 09:31:02+00:00,2018-06-27 09:31:02+00:00,1
20865753,2018-06-27 09:29:54+00:00,6285258,,549523368,2018-06-27 09:29:54+00:00,all-rights-reserved,0,,0,Garnett silk,2018-06-27 09:29:54+00:00,2018-06-27 09:29:54+00:00,1
20865753,2018-06-16 12:17:03+00:00,4165143,,541697610,2018-06-16 12:17:03+00:00,all-rights-reserved,0,,0,Rhemi live,2018-06-16 12:17:03+00:00,2018-06-16 12:17:03+00:00,1
